down | strategy | ncall | sigma_tot
0.98 | 1.00 | 200 | 104.029
0.98 | 1.00 | 300 | 104.029
0.98 | 1.00 | 400 | 104.029
0.98 | 1.00 | 500 | 104.029
0.98 | 1.00 | 600 | 104.029
0.98 | 1.00 | 700 | 104.029
0.98 | 1.00 | 800 | 104.029
0.98 | 2.00 | 300 | 104.029
0.98 | 2.00 | 400 | 104.029
0.98 | 2.00 | 500 | 104.029
0.98 | 2.00 | 600 | 104.029
0.98 | 2.00 | 700 | 104.029
0.98 | 2.00 | 800 | 104.029
0.99 | 0.00 | 200 | 104.061
0.99 | 0.00 | 300 | 104.061
0.99 | 0.00 | 400 | 104.061
0.99 | 0.00 | 500 | 104.061
0.99 | 0.00 | 600 | 104.061
0.99 | 0.00 | 700 | 104.061
0.99 | 0.00 | 800 | 104.061
0.99 | 1.00 | 200 | 104.061
0.99 | 1.00 | 300 | 104.061
0.99 | 1.00 | 400 | 104.061
0.99 | 1.00 | 500 | 104.061
0.99 | 1.00 | 600 | 104.061
0.99 | 1.00 | 700 | 104.061
0.99 | 1.00 | 800 | 104.061
0.99 | 2.00 | 300 | 104.063
0.99 | 2.00 | 400 | 104.063
0.99 | 2.00 | 500 | 104.063
0.99 | 2.00 | 600 | 104.063
0.99 | 2.00 | 700 | 104.063
0.99 | 2.00 | 800 | 104.063
